"x","y"
"0","'-10.849"
"0.004","'-6.8493"
"0.008","'-18.849"
"0.012","'-28.849"
"0.016","'-28.849"
"0.02","'-30.849"
"0.024","'-54.849"
"0.028","'-34.849"
"0.032","'-32.849"
"0.036","'-36.849"
"0.04","'-60.849"
"0.044","'-26.849"
"0.048","'-10.849"
"0.052","'-12.849"
"0.056","'-22.849"
"0.06","'-24.849"
"0.064","'-28.849"
"0.068","'-14.849"
"0.072","'-4.8493"
"0.076","'-2.8493"
"0.08","'-0.8493"
"0.084","'-8.8493"
"0.088","'-20.849"
"0.092","'-26.849"
"0.096","'-12.849"
"0.1","3.1507"
"0.104","25.151"
"0.108","125.15"
"0.112","275.15"
"0.116","455.15"
"0.12","577.15"
"0.124","709.15"
"0.128","773.15"
"0.132","665.15"
"0.136","283.15"
"0.14","'-56.849"
"0.144","'-270.85"
"0.148","'-408.85"
"0.152","'-334.85"
"0.156","'-264.85"
"0.16","'-186.85"
"0.164","'-152.85"
"0.168","'-124.85"
"0.172","'-136.85"
"0.176","'-114.85"
"0.18","'-110.85"
"0.184","'-100.85"
"0.188","'-94.849"
"0.192","'-112.85"
"0.196","'-88.849"
"0.2","'-74.849"
"0.204","'-56.849"
"0.208","'-62.849"
"0.212","'-68.849"
"0.216","'-70.849"
"0.22","'-66.849"
"0.224","'-62.849"
"0.228","'-44.849"
"0.232","'-54.849"
"0.236","'-48.849"
"0.24","'-10.849"
"0.244","'-36.849"
"0.248","'-18.849"
"0.252","'-10.849"
"0.256","'-28.849"
"0.26","'-14.849"
"0.264","'-12.849"
"0.268","'-8.8493"
"0.272","'-8.8493"
"0.276","3.1507"
"0.28","'-12.849"
"0.284","7.1507"
"0.288","1.1507"
"0.292","1.1507"
"0.296","25.151"
"0.3","5.1507"
"0.304","13.151"
"0.308","23.151"
"0.312","'-0.8493"
"0.316","7.1507"
"0.32","23.151"
"0.324","45.151"
"0.328","37.151"
"0.332","51.151"
"0.336","39.151"
"0.34","43.151"
"0.344","53.151"
"0.348","35.151"
"0.352","47.151"
"0.356","55.151"
"0.36","71.151"
"0.364","49.151"
"0.368","47.151"
"0.372","49.151"
"0.376","57.151"
"0.38","51.151"
"0.384","61.151"
"0.388","43.151"
"0.392","29.151"
"0.396","39.151"
"0.4","39.151"
"0.404","37.151"
"0.408","23.151"
"0.412","7.1507"
"0.416","55.151"
"0.42","25.151"
"0.424","15.151"
"0.428","'-8.8493"
"0.432","'-38.849"
"0.436","'-28.849"
"0.44","'-56.849"
"0.444","'-58.849"
"0.448","'-66.849"
"0.452","'-82.849"
"0.456","'-76.849"
"0.46","'-96.849"
"0.464","'-36.849"
"0.468","'-102.85"
"0.472","'-96.849"
"0.476","'-80.849"
"0.48","'-72.849"
"0.484","'-62.849"
"0.488","'-70.849"
"0.492","'-48.849"
"0.496","'-56.849"
"0.5","'-38.849"
"0.504","'-70.849"
"0.508","'-44.849"
"0.512","'-28.849"
"0.516","'-32.849"
"0.52","'-40.849"
"0.524","'-28.849"
"0.528","'-24.849"
"0.532","'-24.849"
"0.536","'-18.849"
"0.54","'-34.849"
"0.544","'-10.849"
"0.548","'-42.849"
"0.552","'-30.849"
"0.556","'-22.849"
"0.56","'-16.849"
"0.564","'-24.849"
"0.568","'-16.849"
"0.572","13.151"
"0.576","11.151"
"0.58","'-16.849"
"0.584","'-6.8493"
"0.588","'-14.849"
"0.592","'-18.849"
"0.596","'-40.849"
"0.6","'-38.849"
"0.604","'-12.849"
"0.608","'-24.849"
"0.612","'-30.849"
"0.616","'-24.849"
"0.62","'-4.8493"
"0.624","'-10.849"
"0.628","'-16.849"
"0.632","'-22.849"
"0.636","'-24.849"
"0.64","'-18.849"
"0.644","3.1507"
"0.648","'-14.849"
"0.652","3.1507"
"0.656","'-10.849"
"0.66","'-6.8493"
"0.664","'-14.849"
"0.668","9.1507"
"0.672","19.151"
"0.676","15.151"
"0.68","27.151"
"0.684","31.151"
"0.688","35.151"
"0.692","25.151"
"0.696","33.151"
"0.7","51.151"
"0.704","49.151"
"0.708","41.151"
"0.712","17.151"
"0.716","'-0.8493"
"0.72","'-8.8493"
"0.724","'-32.849"
"0.728","'-6.8493"
"0.732","'-20.849"
"0.736","'-4.8493"
"0.74","'-36.849"
"0.744","'-40.849"
"0.748","'-22.849"
"0.752","'-18.849"
"0.756","'-40.849"
"0.76","'-52.849"
"0.764","'-48.849"
"0.768","'-42.849"
"0.772","'-34.849"
"0.776","'-14.849"
"0.78","'-26.849"
"0.784","'-36.849"
"0.788","'-36.849"
"0.792","'-28.849"
"0.796","'-18.849"
"0.8","'-22.849"
"0.804","'-14.849"
"0.808","'-12.849"
"0.812","'-24.849"
