Time (s),ECG (mV)
0.0,0.0
0.002,0.003141113121831988
0.004,0.006279349820730385
0.006,0.009411837510667539
0.008,0.012535711274014809
0.01,0.01564811768221757
0.012,0.01874621860026233
0.014,0.021827194969569162
0.016,0.024888250563973237
0.018000000000000002,0.027926615713497503
0.02,0.030939550990664325
0.022,0.03392435085414694
0.024,0.03687834724462235
0.026000000000000002,0.03979891312775499
0.028,0.042683465979315646
0.03,0.04552947120752229
0.032,0.04833444550777853
0.034,0.05109596014508141
0.036000000000000004,0.05381164415947315
0.038,0.05647918749002029
0.04,0.059096344012919924
0.042,0.061660934489453964
0.044,0.06417084941964121
0.046,0.06662405179757001
0.048,0.06901857976453445
0.05,0.07135254915624212
0.052000000000000005,0.0736241559405116
0.054,0.07583167854203327
0.056,0.077973480050928
0.058,0.08004801031200232
0.06,0.08205380789176878
0.062,0.08398950192047364
0.064,0.08585381380655085
0.066,0.08764555882110349
0.068,0.08936364755019721
0.07,0.09100708721293882
0.07200000000000001,0.09257498284350296
0.074,0.0940665383354635
0.076,0.09548105734698134
0.078,0.09681794406559827
0.08,0.09807670383158512
0.082,0.09925694361899416
0.084,0.1003583723737669
0.08600000000000001,0.10138080120845153
0.088,0.10232414345328819
0.09,0.10318841456362357
0.092,0.10397373188382031
0.094,0.10468031426803115
0.096,0.10530848155840936
0.098,0.10585865392153107
0.1,0.106331351044005
0.10200000000000001,0.10672719118844559
0.10400000000000001,0.10704689011118346
0.106,0.10729125984328322
0.108,0.10746120733663325
0.11,0.10755773297706216
0.112,0.10758192896662704
0.114,0.10753497757740274
0.116,0.10741814927928438
0.11800000000000001,0.10723280074449422
0.12,0.10698037273165834
0.122,0.1066623878524896
0.124,0.10628044822428027
0.126,0.10583623301156879
0.128,0.10533149586050328
0.13,0.10476806222957566
0.132,0.10414782662054765
0.134,0.1034727497135316
0.136,0.10274485541032385
0.138,0.10196622779022012
0.14,0.1011390079826647
0.14200000000000002,0.10026539096120395
0.14400000000000002,0.0993476222633261
0.146,0.0983879946408736
0.148,0.09738884464581353
0.15,0.09635254915624214
0.152,0.09528152184758468
0.154,0.094178209614029
0.156,0.09304508894530161
0.158,0.09188466226395836
0.16,0.09069945422841671
0.162,0.08949200800700634
0.164,0.08826488152835371
0.166,0.08702064371345115
0.168,0.08576187069478569
0.17,0.08449114202792071
0.17200000000000001,0.08321103690093458
0.17400000000000002,0.08192413034712255
0.176,0.08063298946636259
0.178,0.07934016966053437
0.18,0.07804821088835923
0.182,0.07675963394500078
0.184,0.07547693677173128
0.186,0.0742025908009245
0.188,0.0729390373415857
0.19,0.0716886840105715
0.192,0.0704539012145868
0.194,0.06923701868797284
0.196,0.06804032209122166
0.198,0.06686604967506504
0.2,0.0657163890148917
0.202,0.06459347382014759
0.20400000000000001,0.06349938082326537
0.20600000000000002,0.06243612675255736
0.20800000000000002,0.06140566539338492
0.21,0.06040988474179254
0.212,0.05945060425466222
0.214,0.058529572200306565
0.216,0.057648463113275525
0.218,0.056808875357003324
0.22,0.05601232879776812
0.222,0.055260262593278785
0.224,0.05455403309903913
0.226,0.053894911895472866
0.228,0.05328408393861925
0.23,0.05272264583703522
0.232,0.05221160425735762
0.234,0.051751874460797875
0.23600000000000002,0.051344278972653555
0.23800000000000002,0.05098954638673254
0.24,0.050688310306392724
0.242,0.050441108423706055
0.244,0.05024838173805851
0.246,0.0501104739152993
0.248,0.05002763078835215
0.25,0.05
0.252,0.05002763078835215
0.254,0.0501104739152993
0.256,0.05024838173805851
0.258,0.050441108423706055
0.26,0.050688310306392724
0.262,0.050989546386732545
0.264,0.05134427897265357
0.266,0.051751874460797875
0.268,0.052211604257357616
0.27,0.05272264583703522
0.272,0.05328408393861924
0.274,0.053894911895472845
0.276,0.054554033099039154
0.278,0.05526026259327877
0.28,0.056012328797768116
0.28200000000000003,0.05680887535700334
0.28400000000000003,0.05764846311327554
0.28600000000000003,0.05852957220030655
0.28800000000000003,0.059450604254662226
0.29,0.06040988474179251
0.292,0.06140566539338493
0.294,0.06243612675255736
0.296,0.06349938082326534
0.298,0.06459347382014757
0.3,0.0657163890148917
0.302,0.06686604967506501
0.304,0.06804032209122166
0.306,0.06923701868797284
0.308,0.07045390121458679
0.31,0.07168868401057149
0.312,0.07293903734158569
0.314,0.07420259080092452
0.316,0.07547693677173127
0.318,0.07675963394500075
0.32,0.07804821088835923
0.322,0.07934016966053438
0.324,0.08063298946636259
0.326,0.08192413034712258
0.328,0.08321103690093458
0.33,0.08449114202792068
0.332,0.08576187069478572
0.334,0.08702064371345117
0.336,0.08826488152835371
0.338,0.08949200800700637
0.34,0.09069945422841671
0.342,0.09188466226395837
0.34400000000000003,0.09304508894530165
0.34600000000000003,0.09417820961402898
0.34800000000000003,0.09528152184758468
0.35000000000000003,0.09635254915624215
0.352,0.0973888446458135
0.354,0.09838799464087358
0.356,0.09934762226332611
0.358,0.10026539096120393
0.36,0.10113900798266467
0.362,0.10196622779022013
0.364,0.10274485541032383
0.366,0.1034727497135316
0.368,0.10414782662054767
0.37,0.1047680622295756
0.372,0.10533149586050328
0.374,0.1058362330115688
0.376,0.10628044822428025
0.378,0.1066623878524896
0.38,0.10698037273165835
0.382,0.1072328007444942
0.384,0.10741814927928436
0.386,0.10753497757740274
0.388,0.10758192896662702
0.39,0.10755773297706217
0.392,0.10746120733663325
0.394,0.10729125984328322
0.396,0.10704689011118343
0.398,0.10672719118844559
0.4,0.10633135104400501
0.402,0.10585865392153107
0.404,0.10530848155840934
0.406,0.10468031426803114
0.40800000000000003,0.10397373188382034
0.41000000000000003,0.10318841456362357
0.41200000000000003,0.10232414345328819
0.41400000000000003,0.10138080120845151
0.41600000000000004,0.10035837237376687
0.418,0.09925694361899418
0.42,0.09807670383158515
0.422,0.0968179440655983
0.424,0.09548105734698137
0.426,0.0940665383354635
0.428,0.09257498284350298
0.43,0.09100708721293885
0.432,0.08936364755019724
0.434,0.0876455588211035
0.436,0.08585381380655084
0.438,0.08398950192047366
0.44,0.08205380789176883
0.442,0.08004801031200232
0.444,0.077973480050928
0.446,0.07583167854203327
0.448,0.07362415594051161
0.45,0.07135254915624215
0.452,0.06901857976453447
0.454,0.06662405179757
0.456,0.06417084941964121
0.458,0.061660934489454006
0.46,0.0590963440129199
0.462,0.056479187490020295
0.464,0.053811644159473156
0.466,0.05109596014508141
0.468,0.04833444550777854
0.47000000000000003,0.045529471207522244
0.47200000000000003,0.042683465979315605
0.47400000000000003,0.039798913127754965
0.47600000000000003,0.03687834724462231
0.47800000000000004,0.03392435085414691
0.48,0.030939550990664352
0.482,0.027926615713497548
0.484,0.0248882505639733
0.486,0.021827194969569162
0.488,0.01874621860026239
0.49,0.015648117682217643
0.492,0.012535711274014812
0.494,0.00941183751066756
0.496,0.006279349820730468
0.498,0.0031411131218320003
0.5,3.061616997868383e-17
